projectile_name,ion_isotope,target_name,phase,energy,energy_unit,stopping_power,stopping_unit,percentage_error,target_mass_atom_ratio,dataset_last_modification,publication_year,ref_id,citation_reference,doi,comments
Al,27.0,Ag,s,0.159,MeV/u,4.369,MeV/(mg/cm2),5,107.8682,2023-11-27,1991,Ab1991a,"M.Abdesselam,J.P.Stoquert,G.Guillaume,M.Hage-Ali,J.J.Grob and P.Siffert Nucl.Instrum.Methods Phys.Res. B61,385,and personal communication",10.1016/0168-583x(91)95310-a,
Al,27.0,Ag,s,0.308,MeV/u,5.963,MeV/(mg/cm2),5,107.8682,2023-11-27,1991,Ab1991a,"M.Abdesselam,J.P.Stoquert,G.Guillaume,M.Hage-Ali,J.J.Grob and P.Siffert Nucl.Instrum.Methods Phys.Res. B61,385,and personal communication",10.1016/0168-583x(91)95310-a,
Al,27.0,Ag,s,0.498,MeV/u,6.802,MeV/(mg/cm2),5,107.8682,2023-11-27,1991,Ab1991a,"M.Abdesselam,J.P.Stoquert,G.Guillaume,M.Hage-Ali,J.J.Grob and P.Siffert Nucl.Instrum.Methods Phys.Res. B61,385,and personal communication",10.1016/0168-583x(91)95310-a,
Al,27.0,Ag,s,0.727,MeV/u,7.042,MeV/(mg/cm2),5,107.8682,2023-11-27,1991,Ab1991a,"M.Abdesselam,J.P.Stoquert,G.Guillaume,M.Hage-Ali,J.J.Grob and P.Siffert Nucl.Instrum.Methods Phys.Res. B61,385,and personal communication",10.1016/0168-583x(91)95310-a,
Al,27.0,Ag,s,0.981,MeV/u,7.099,MeV/(mg/cm2),5,107.8682,2023-11-27,1991,Ab1991a,"M.Abdesselam,J.P.Stoquert,G.Guillaume,M.Hage-Ali,J.J.Grob and P.Siffert Nucl.Instrum.Methods Phys.Res. B61,385,and personal communication",10.1016/0168-583x(91)95310-a,
Al,27.0,Ag,s,1.26,MeV/u,7.023,MeV/(mg/cm2),5,107.8682,2023-11-27,1991,Ab1991a,"M.Abdesselam,J.P.Stoquert,G.Guillaume,M.Hage-Ali,J.J.Grob and P.Siffert Nucl.Instrum.Methods Phys.Res. B61,385,and personal communication",10.1016/0168-583x(91)95310-a,
Al,27.0,Ag,s,1.83,MeV/u,6.741,MeV/(mg/cm2),5,107.8682,2023-11-27,1991,Ab1991a,"M.Abdesselam,J.P.Stoquert,G.Guillaume,M.Hage-Ali,J.J.Grob and P.Siffert Nucl.Instrum.Methods Phys.Res. B61,385,and personal communication",10.1016/0168-583x(91)95310-a,
Al,27.0,Ag,s,1.982,MeV/u,6.586,MeV/(mg/cm2),5,107.8682,2023-11-27,1991,Ab1991a,"M.Abdesselam,J.P.Stoquert,G.Guillaume,M.Hage-Ali,J.J.Grob and P.Siffert Nucl.Instrum.Methods Phys.Res. B61,385,and personal communication",10.1016/0168-583x(91)95310-a,
Al,27.0,Ag,s,2.363,MeV/u,6.273,MeV/(mg/cm2),5,107.8682,2023-11-27,1991,Ab1991a,"M.Abdesselam,J.P.Stoquert,G.Guillaume,M.Hage-Ali,J.J.Grob and P.Siffert Nucl.Instrum.Methods Phys.Res. B61,385,and personal communication",10.1016/0168-583x(91)95310-a,
Al,27.0,Ag,s,2.418,MeV/u,6.126,MeV/(mg/cm2),5,107.8682,2023-11-27,1991,Ab1991a,"M.Abdesselam,J.P.Stoquert,G.Guillaume,M.Hage-Ali,J.J.Grob and P.Siffert Nucl.Instrum.Methods Phys.Res. B61,385,and personal communication",10.1016/0168-583x(91)95310-a,
Al,27.0,Ag,s,2.853,MeV/u,5.837,MeV/(mg/cm2),5,107.8682,2023-11-27,1991,Ab1991a,"M.Abdesselam,J.P.Stoquert,G.Guillaume,M.Hage-Ali,J.J.Grob and P.Siffert Nucl.Instrum.Methods Phys.Res. B61,385,and personal communication",10.1016/0168-583x(91)95310-a,
Al,27.0,Ag,s,3.274,MeV/u,5.884,MeV/(mg/cm2),5,107.8682,2023-11-27,1991,Ab1991a,"M.Abdesselam,J.P.Stoquert,G.Guillaume,M.Hage-Ali,J.J.Grob and P.Siffert Nucl.Instrum.Methods Phys.Res. B61,385,and personal communication",10.1016/0168-583x(91)95310-a,
Al,27.0,Ag,s,3.669,MeV/u,5.472,MeV/(mg/cm2),5,107.8682,2023-11-27,1991,Ab1991a,"M.Abdesselam,J.P.Stoquert,G.Guillaume,M.Hage-Ali,J.J.Grob and P.Siffert Nucl.Instrum.Methods Phys.Res. B61,385,and personal communication",10.1016/0168-583x(91)95310-a,
