projectile_name,ion_isotope,target_name,phase,energy,energy_unit,stopping_power,stopping_unit,percentage_error,target_mass_atom_ratio,dataset_last_modification,publication_year,ref_id,citation_reference,doi,comments,facility,technique,stopping_power_converted,stopping_unit_converted
S,32.0,Ge,s,0.08,MeV/u,4.02,MeV/(mg/cm2),5,72.63,2023-11-27,2001,Nig2001,"M.Nigam,J.L.Duggan,M.El Bounanani,C.Yang,S.A.Datar,S.Matteson,F.D.McDaniel AIP Conf. Proceedings 576, 25",,,,,4.02,MeV/(mg/cm2)
S,32.0,Ge,s,0.0925,MeV/u,4.54,MeV/(mg/cm2),5,72.63,2023-11-27,2001,Nig2001,"M.Nigam,J.L.Duggan,M.El Bounanani,C.Yang,S.A.Datar,S.Matteson,F.D.McDaniel AIP Conf. Proceedings 576, 25",,,,,4.54,MeV/(mg/cm2)
S,32.0,Ge,s,0.115625,MeV/u,4.88,MeV/(mg/cm2),5,72.63,2023-11-27,2001,Nig2001,"M.Nigam,J.L.Duggan,M.El Bounanani,C.Yang,S.A.Datar,S.Matteson,F.D.McDaniel AIP Conf. Proceedings 576, 25",,,,,4.88,MeV/(mg/cm2)
S,32.0,Ge,s,0.1353125,MeV/u,5.29,MeV/(mg/cm2),5,72.63,2023-11-27,2001,Nig2001,"M.Nigam,J.L.Duggan,M.El Bounanani,C.Yang,S.A.Datar,S.Matteson,F.D.McDaniel AIP Conf. Proceedings 576, 25",,,,,5.29,MeV/(mg/cm2)
S,32.0,Ge,s,0.1371875,MeV/u,5.5,MeV/(mg/cm2),5,72.63,2023-11-27,2001,Nig2001,"M.Nigam,J.L.Duggan,M.El Bounanani,C.Yang,S.A.Datar,S.Matteson,F.D.McDaniel AIP Conf. Proceedings 576, 25",,,,,5.5,MeV/(mg/cm2)
S,32.0,Ge,s,0.1528125,MeV/u,5.64,MeV/(mg/cm2),5,72.63,2023-11-27,2001,Nig2001,"M.Nigam,J.L.Duggan,M.El Bounanani,C.Yang,S.A.Datar,S.Matteson,F.D.McDaniel AIP Conf. Proceedings 576, 25",,,,,5.64,MeV/(mg/cm2)
S,32.0,Ge,s,0.1715625,MeV/u,6.24,MeV/(mg/cm2),5,72.63,2023-11-27,2001,Nig2001,"M.Nigam,J.L.Duggan,M.El Bounanani,C.Yang,S.A.Datar,S.Matteson,F.D.McDaniel AIP Conf. Proceedings 576, 25",,,,,6.24,MeV/(mg/cm2)
S,32.0,Ge,s,0.18125,MeV/u,6.37,MeV/(mg/cm2),5,72.63,2023-11-27,2001,Nig2001,"M.Nigam,J.L.Duggan,M.El Bounanani,C.Yang,S.A.Datar,S.Matteson,F.D.McDaniel AIP Conf. Proceedings 576, 25",,,,,6.37,MeV/(mg/cm2)
S,32.0,Ge,s,0.1996875,MeV/u,6.86,MeV/(mg/cm2),5,72.63,2023-11-27,2001,Nig2001,"M.Nigam,J.L.Duggan,M.El Bounanani,C.Yang,S.A.Datar,S.Matteson,F.D.McDaniel AIP Conf. Proceedings 576, 25",,,,,6.86,MeV/(mg/cm2)
S,32.0,Ge,s,0.2265625,MeV/u,7.29,MeV/(mg/cm2),5,72.63,2023-11-27,2001,Nig2001,"M.Nigam,J.L.Duggan,M.El Bounanani,C.Yang,S.A.Datar,S.Matteson,F.D.McDaniel AIP Conf. Proceedings 576, 25",,,,,7.29,MeV/(mg/cm2)
S,32.0,Ge,s,0.2384375,MeV/u,7.34,MeV/(mg/cm2),5,72.63,2023-11-27,2001,Nig2001,"M.Nigam,J.L.Duggan,M.El Bounanani,C.Yang,S.A.Datar,S.Matteson,F.D.McDaniel AIP Conf. Proceedings 576, 25",,,,,7.34,MeV/(mg/cm2)
S,32.0,Ge,s,0.2634375,MeV/u,7.67,MeV/(mg/cm2),5,72.63,2023-11-27,2001,Nig2001,"M.Nigam,J.L.Duggan,M.El Bounanani,C.Yang,S.A.Datar,S.Matteson,F.D.McDaniel AIP Conf. Proceedings 576, 25",,,,,7.67,MeV/(mg/cm2)
S,34.0,Si3N4,s,0.0118,MeV/u,2.877,MeV/(mg/cm2),3-5,20.04042857142857,2023-11-27,2007,Sun2007,"G. Sun, M. Döbeli, A.M. Müller, M. Stocker, M. Suter, L. Wacker Nucl. Instrum. Methods B 256 (2007) 586",10.1016/j.nimb.2006.12.184,,,,2.877,MeV/(mg/cm2)
S,34.0,Si3N4,s,0.0235,MeV/u,4.011,MeV/(mg/cm2),3-5,20.04042857142857,2023-11-27,2007,Sun2007,"G. Sun, M. Döbeli, A.M. Müller, M. Stocker, M. Suter, L. Wacker Nucl. Instrum. Methods B 256 (2007) 586",10.1016/j.nimb.2006.12.184,,,,4.011,MeV/(mg/cm2)
S,34.0,Si3N4,s,0.0353,MeV/u,4.86,MeV/(mg/cm2),3-5,20.04042857142857,2023-11-27,2007,Sun2007,"G. Sun, M. Döbeli, A.M. Müller, M. Stocker, M. Suter, L. Wacker Nucl. Instrum. Methods B 256 (2007) 586",10.1016/j.nimb.2006.12.184,,,,4.86,MeV/(mg/cm2)
S,34.0,Si3N4,s,0.0471,MeV/u,6.18,MeV/(mg/cm2),3-5,20.04042857142857,2023-11-27,2007,Sun2007,"G. Sun, M. Döbeli, A.M. Müller, M. Stocker, M. Suter, L. Wacker Nucl. Instrum. Methods B 256 (2007) 586",10.1016/j.nimb.2006.12.184,,,,6.18,MeV/(mg/cm2)
S,34.0,Si3N4,s,0.0735,MeV/u,7.653,MeV/(mg/cm2),3-5,20.04042857142857,2023-11-27,2007,Sun2007,"G. Sun, M. Döbeli, A.M. Müller, M. Stocker, M. Suter, L. Wacker Nucl. Instrum. Methods B 256 (2007) 586",10.1016/j.nimb.2006.12.184,,,,7.653,MeV/(mg/cm2)
S,34.0,Si3N4,s,0.0882,MeV/u,8.263,MeV/(mg/cm2),3-5,20.04042857142857,2023-11-27,2007,Sun2007,"G. Sun, M. Döbeli, A.M. Müller, M. Stocker, M. Suter, L. Wacker Nucl. Instrum. Methods B 256 (2007) 586",10.1016/j.nimb.2006.12.184,,,,8.263,MeV/(mg/cm2)
S,32.0,Kr,g,2.52625,MeV/u,9.1,MeV/(mg/cm2),3,83.798,2023-11-27,1968,Pi1968,"T.E.Pierce and M.Blann Phys.Rev.173,390 (1968)",10.1103/PhysRev.173.390,,,,9.1,MeV/(mg/cm2)
