ref_id,doi,authors,citation_reference,year
Ab1991a,10.1016/0168-583x(91)95310-a,M. Abdesselam;J.P. Stoquert;G. Guillaume;M. Hage-Ali;J.J. Grob;P. Siffert,"M.Abdesselam,J.P.Stoquert,G.Guillaume,M.Hage-Ali,J.J.Grob and P.Siffert Nucl.Instrum.Methods Phys.Res. B61,385,and personal communication",1991
Ab1992a,10.1016/0168-583x(92)95123-9,M. Abdesselam;J.P. Stoquert;G. Guillaume;M. Hage-Ali;J.J. Grob;P. Siffert,"M.Abdesselam,J.P.Stoquert,G.Guillaume,M.Hage-Ali,J.J.Grob and P.Siffert Nucl.Instrum.Methods Phys.Res. B72,293",1992
Ab1992c,10.1016/0168-583x(91)95310-a,M. Abdesselam;J.P. Stoquert;G. Guillaume;M. Hage-Ali;J.J. Grob;P. Siffert,"M.Abdesselam,J.P.Stoquert,G.Guillaume,M.Hage-Ali,J.J.Grob and P.Siffert Nucl.Instrum.Methods Phys.Res. B72,7",1992
Ab1993,10.1016/0168-583x(93)95724-j,M. Abdesselam;J.P. Stoquert;M. Hage-Ali;J.J. Grob;P. Siffert,"M.Abdesselam,J.P.Stoquert,M.Hage-Ali,J.J.Grob and P.Siffert, Nucl. Instr. Meth. B73 (1993) 115",1993
Ab2008,10.1016/j.nimb.2008.06.029,M. Abdesselam;S. Ouichaoui;M. Azzouz;A.C. Chami;M. Siad,"M.Abdesselam,S.Ouichaoui,M.Azzouz,A.C.Chami, and M.Siad Nucl. Instrum. Methods Phys. Res. B 266, 3899",2008
Ad1977,10.1088/0022-3727/10/6/006,D A Andrews;G Newton,"D.A.Andrews and G.Newton J.Phys.D:Appl.Phys. 10,845",1977
Ag2001,10.1063/1.1337076,T. Ahlgren;E. Rauhala,"T.Ahlgren and E.Rauhala J.Appl.Phys. 90, 4871",2001
Ai1997,10.1016/s1350-4487(97)00029-2,H. Ammi;M. Chekirine;A. Adjerad,"H.Ammi,M.Chekirine,A.Adjerad Radiation Measurements 28,15",1997
Ai2000,10.1016/s1350-4487(99)00254-1,H Ammi;M Chekirine;M Allab,"H.Ammi,M.Chekirine,M.Allab Radiation Measurements 32, 83 (Alpha data identical to CA99)",2000
Ai2004,10.1016/s0168-583x(03)01534-9,H. Ammi;S. Mammeri;M. Allab,"H.Ammi,S.Mammeri,M.Allab Nucl.Instrum.Methods B213, 60",2004
Ai2005,10.1016/j.nimb.2004.12.019,H. Ammi;R. Zemih;S. Mammeri;M. Allab,"H.Ammi,R.Zemih,S.Mammeri,M.Allab Nucl.Instrum.Methods B230, 68",2005
Ak1980a,10.1088/0022-3735/13/8/019,A Akhavan-Rezayat;R B J Palmer,"A.Akhavan-Rezayat and R.B.J.Palmer J.Phys.E.Sci.Instrum. 13,877",1980
Ak1980b,10.1088/0022-3727/13/11/008,A Akhavan-Rezayat;R B J Palmer,"A.Akhavan-Rezayat and R.B.J.Palmer J.Phys.D: Appl. Phys. 13, 1971",1980
Al1983,10.1080/00337578308217825,H. W. Alberts;J. B. Malherbe,"H.W.Alberts and J.B.Malherbe Radiat.Eff. 69,231",1983
Al1987,10.1080/00337578708222903,H. W. Alberts,"H.W.Alberts Radiat.Eff. 102,23",1987
Ala2000a,10.1016/s0168-583x(99)00856-3,T Alanko;J Hyvönen;V Kyllönen;J Räisänen;A Virtanen,"T.Alanko,J.Hyvönen,V.Kyllönen,J.Räisänen,A.Virtanen Nucl.Instrum.Methods Phys.Res. B161, 164",2000
Ala2000b,10.1016/s0168-583x(99)00832-0,T. Alanko;J. Hyvönen;V. Kyllönen;J. Räisänen;A. Virtanen,"T.Alanko,J.Hyvonen,V.Kyllönen,J.Raisänen,A.Virtanen Nucl.Instrum.Methods Phys.Res. B168, 139",2000
Ala2000c,10.1016/s0969-806x(00)00266-8,T Alanko;J Hyvönen;V Kyllönen;S Müller;J Räisänen;A Virtanen,"T.Alanko,J.Hyvönen,V.Kyllönen,S.Müller,J.Räisänen,A.Virtanen Radiation Phys. and Chem. 59,249",2000
Ala2001,10.1088/0953-8984/13/48/304,T Alanko;J Hyvönen;V Kyllönen;P Laitinen;A Matilainen;J Räisänen;A Virtanen,"T.Alanko,J.Hyvönen,V.Kyllönen,P.Laitinen,A.Matilainen,J.Räisänen,A.Virtanen J.Phys.: Condens. Matter 13, 10777",2001
Ala2002,10.1016/s0168-583x(01)01289-7,T. Alanko;W.H. Trzaska;V. Lyapin;J. Räisänen;G. Tiourine;A. Virtanen,"T.Alanko,W.H.Trzaska,V.Lyapin,J.Räisänen,G.Tiourine,A.Virtanen Nucl.Instrum.Methods Phys.Res. B190, 60",2002
All1956,10.1103/physrev.104.959,Samuel K. Allison;C. S. Littlejohn,"S.K.Allison and C.S.Littlejohn Phys.Rev. 104,959",1956
Am1968,10.1016/0029-554x(68)90025-6,B.H. Armitage;B.W. Hooton,"B.H.Armitage and B.H.Hooton Nucl.Instrum.Methods Phys.Res. 58,29",1968
Amm2006,10.1080/10420150600762037, H. Ammi;R. Zemih;S. Mammeri;M. Allab,"H. Ammi , R. Zemih , S. Mammeri, M. Allab (2006) Radiation Effects and Defects in Solids, 161:6, 339-346",2006
Amm2011,10.1016/j.nimb.2010.12.020,H. Ammi;C.A. Pineda-Vargas;S. Mammeri;M. Msimanga;S. Ourabah;A. Dib,"H.Ammi,C.A.Pineda-Vargas,S.Mammeri,M.Msimanga,S.Ourabah,A.Dib Nucl. Instrum. Methods B269, 386",2011
An1967,10.1103/physrev.153.338,H. H. Andersen;C. C. Hanke;H. Sørensen;P. Vajda,"H.H.Andersen,C.C.Hanke,H.Sörensen and P.Vajda, Phys.Rev. 153,338 (1967)",1967
An1968,10.1103/physrev.175.389,H. H. Andersen;C. C. Hanke;H. Simonsen;H. Sørensen;P. Vajda,"H.H.Andersen,C.C.Hanke,H.Simonsen,H.Sörensen and P.Vajda Phys.Rev. 175,389",1968
An1969,10.1103/physrev.186.372,H. H. Andersen;H. Simonsen;H. Sørensen;P. Vajda,"H.H.Andersen,H.Simonsen,H.Sörensen and P.Vajda Phys.Rev. 186,372",1969
An1977a,10.1103/PhysRevA.16.1929,H.H. Andersen;J.F. Bak;H. Knudsen;B.R. Nielsen,"H.H.Andersen,J.F.Bak,H.Knudsen and B.R.Nielsen, Phys.Rev. A16,1929 (1977) (The Au values were later replaced by An81)",1977
An1978,10.1016/0029-554x(78)90848-0,H.H. Andersen;F. Besenbacher;H. Knudsen,"H.H.Andersen,F.Besenbacher and H.Knudsen Nucl.Instrum.Methods Phys.Res. 149,121",1978
An1980,10.1016/0029-554x(80)91234-3,H.H. Andersen;F. Besenbacher;P. Goddiksen,"H.H.Andersen,F.Besenbacher and P.Goddiksen Nucl.Instr.Methods Phys.Res. 168,75",1980
An1981,10.1016/0029-554x(81)91048-x,H.H. Andersen;B.R. Nielsen,"H.H.Andersen and B.R.Nielsen Nucl.Instrum.Methods Phys.Res. 191,475 (The results published in this paper consist of reevaluated Au-stopping cross sections from the publication An77a)",1981
An1994,10.1016/0168-583x(94)95523-9,J.U. Andersen;G.C. Ball;J.A. Davies;W.G. Davies;J.S. Forster;J.S. Geiger;H. Geissel;V.A. Ryabov,"J.U.Andersen,G.C.Ball,J.A.Davies,W.G.Davies,J.S.Forster, J.S.Geiger,H.Geissel and V.A.Ryabov Nucl.Instrum.Methods Phys.Res 90,104",1994
An2002,10.1016/s0168-583x(02)00692-4,H.H. Andersen;A. Csete;T. Ichioka;H. Knudsen;S.P. Møller;U.I. Uggerhøj,"H.H. Andersen, A. Csete, T. Ichioka, H. Knudsen, S.P.MÖller, and U.I. Uggerhoj Nucl. Instr. Methods B 194, 217",2002
